,image,link,marketcap,name,price,symbol,time
40,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,786923876162,Bitcoin,41793.37,BTC,20210928203125
41,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,338193172001,Ethereum,2873.03,ETH,20210928203125
42,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68557845938,Tether,1.00,USDT,20210928203125
43,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,66523887421,Cardano,2.08,ADA,20210928203125
44,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,56698552651,Binance Coin,337.22,BNB,20210928203125
45,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42674903524,XRP,0.9128,XRP,20210928203125
46,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,39200973158,Solana,131.80,SOL,20210928203125
47,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,31142856351,USD Coin,1.00,USDC,20210928203125
48,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,26519467317,Polkadot,26.85,DOT,20210928203125
49,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,26230867000,Dogecoin,0.1995,DOGE,20210928203125
50,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,791929572507,Bitcoin,42073.84,BTC,20210921160353
51,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,339992875714,Ethereum,2890.68,ETH,20210921160353
52,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68743991283,Tether,1.00,USDT,20210921160353
53,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,65827869027,Cardano,2.05,ADA,20210921160353
54,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,60339954007,Binance Coin,358.87,BNB,20210921160353
55,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42201808935,XRP,0.9052,XRP,20210921160353
56,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,/currencies/solana/,38054039886,Solana,128.08,SOL,20210921160353
57,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,/currencies/usd-coin/,29505653002,USD Coin,1.00,USDC,20210921160353
58,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,/currencies/dogecoin/,27606831198,Dogecoin,0.2101,DOGE,20210921160353
59,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,/currencies/polkadot-new/,27415235676,Polkadot,27.76,DOT,20210921160353
60,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,/currencies/bitcoin/,786923876162,Bitcoin,41793.37,BTC,20210928203155
61,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,/currencies/ethereum/,338193172001,Ethereum,2873.03,ETH,20210928203155
62,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,/currencies/tether/,68557845938,Tether,1.00,USDT,20210928203155
63,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,/currencies/cardano/,66523887421,Cardano,2.08,ADA,20210928203155
64,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,/currencies/binance-coin/,56698552651,Binance Coin,337.22,BNB,20210928203155
65,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,/currencies/xrp/,42674903524,XRP,0.9128,XRP,20210928203155
